round,test_acc,test_loss,asr,asr_loss,round_time,active_clients,stragglers,dropouts,communication_cost_kb,energy_consumption_mj,anomaly_score,reputation_score,rejection_ratio
60,0.930299999999907,0.2117228194474962,,,207.48149299621582,90,,,28113.328125,1153.1109375,0.013728661448060092,0.9375799999999062,0.012800157190842364
61,0.9402999999999059,0.1836462096065099,,,214.53862285614014,90,,,27592.7109375,1118.080078125,0.011302830531297992,0.9381799999999062,0.010538391382832892
62,0.9224999999999077,0.23519807245430976,,,206.7701015472412,90,,,28633.9453125,1188.141796875,0.03180722771912495,0.9345399999999066,0.029656024088732098
63,0.928699999999907,0.2204155351608771,,,208.78373003005981,90,,,26898.5546875,1071.372265625,0.013702428995071486,0.9333799999999066,0.012775698905304047
64,0.9422999999999058,0.18348273683486532,,,216.22567868232727,90,,,26898.5546875,1071.372265625,0.023410337865946346,0.9328199999999066,0.021827037232182954
65,0.9463999999999053,0.1747650770932261,,,206.4839859008789,90,,,26551.4765625,1048.018359375,0.024736449136731536,0.9360399999999064,0.02306346022817698
66,0.9514999999999048,0.16534393519906534,,,212.52778100967407,90,,,24989.625,942.92578125,0.030497136149403387,0.9382799999999062,0.02843453734071392
67,0.9477999999999052,0.16833601324407563,,,211.13265705108643,90,,,24642.546875,919.5718750000001,0.014132646262346282,0.9433399999999056,0.013176819485643667
68,0.9410999999999059,0.18496900390980778,,,205.40074348449707,90,,,23948.390625,872.8640625,0.009589650653599735,0.9458199999999055,0.008941078213323244
69,0.9326999999999067,0.20550578405258985,,,213.2543215751648,90,,,23427.7734375,837.833203125,0.025721821352836904,0.9438999999999055,0.023982189217551228
70,0.9313999999999069,0.21246545670924447,,,209.30552220344543,90,,,22386.5390625,767.771484375,0.025141418086287864,0.9408999999999059,0.02344104009867949
71,0.9451999999999054,0.17059826158879482,,,207.84355330467224,90,,,28981.0234375,1211.495703125,0.01777664231210771,0.939639999999906,0.016574362823442695
72,0.948999999999905,0.16422096084503676,,,217.64182543754578,90,,,29501.640625,1246.5265625,0.023330932576057978,0.939879999999906,0.021753002323812543
73,0.9334999999999066,0.19910178382692728,,,206.9893355369568,90,,,28633.9453125,1188.141796875,0.008723334422408635,0.9383599999999062,0.008133353150091305
74,0.9364999999999063,0.19105911217628,,,212.7546489238739,90,,,28633.9453125,1188.141796875,0.0035699971470233294,0.939119999999906,0.0033285491688786945
75,0.949299999999905,0.16410256812570836,,,214.0450496673584,90,,,27939.7890625,1141.4339843750001,0.01371396918684109,0.9426999999999056,0.012786458604581523
76,0.9310999999999069,0.20489415852723455,,,209.4897985458374,90,,,29154.5625,1223.17265625,0.02021844182699717,0.939879999999906,0.018851017232713176
77,0.9468999999999053,0.17013066767750468,,,216.36871457099915,90,,,27592.7109375,1118.080078125,0.015726990389226314,0.939459999999906,0.01466333406811554
78,0.9504999999999049,0.1656018894120885,,,210.37513303756714,90,,,27766.25,1129.75703125,0.013555789771674709,0.9428599999999057,0.012638977265184717
79,0.9409999999999059,0.17771418191192756,,,207.65896081924438,90,,,27592.7109375,1118.080078125,0.0012254887810348447,0.9437599999999055,0.0011426058608995971
80,0.9456999999999054,0.17550434397755296,,,215.7673077583313,90,,,27939.7890625,1141.4339843750001,0.003264704323708706,0.9430399999999057,0.0030439040749307023
81,0.9463999999999053,0.17308550394920763,,,205.98828625679016,90,,,27245.6328125,1094.726171875,0.0006781865635513695,0.9460999999999054,0.0006323190830378715
82,0.9349999999999065,0.1973507293015521,,,210.06526589393616,90,,,27245.6328125,1094.726171875,0.019499399591086347,0.9437199999999055,0.01818060565024868
83,0.9309999999999069,0.20041831155417345,,,216.58361768722534,90,,,26377.9375,1036.34140625,0.015603697415290718,0.9398199999999062,0.014548379711285284
84,0.9532999999999047,0.15365207599995984,,,208.82157683372498,90,,,26898.5546875,1071.372265625,0.026350116956529335,0.9422799999999057,0.02456799159311456
85,0.9409999999999059,0.17955470120010963,,,212.8149688243866,90,,,25857.3203125,1001.310546875,0.0012575632008908766,0.9413399999999058,0.001172511006242102
86,0.9348999999999065,0.19206894191650614,,,208.15652632713318,90,,,25510.2421875,977.9566406250001,0.007459989922045912,0.939039999999906,0.00695545184835048
